OrderNumber,Date,InvoiceType,CustomerCode,Customer,BranchCode,Branch,Area,SalesRep,Brand,Category,SalesQuantity,SalesValue
SO-101261,2024-11-22,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,Goldenfields,Food,1,866.6
SO-101806,2024-11-22,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,PureGlow,HPC,3,6865.29
SO-100035,2024-11-23,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,FreshNest,Food,2,1330.74
SO-101553,2024-11-23,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,PureGlow,HPC,20,46108.6
SO-100121,2024-11-24,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,FreshNest,Food,1,807.97
SO-101523,2024-11-24,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,DeliMia,Food,3,3894.54
SO-100586,2024-11-25,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Cedarna,Food,60,75615.6
SO-100148,2024-11-26,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Auracare,HPC,12,27519.48
SO-100444,2024-11-27,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Bakehouse Co,Food,1,926.09
SO-100507,2024-11-27,Sales,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Verdé,HPC,3,5208.33
SO-100555,2024-11-27,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,Mintleaf,HPC,5,4166.55
SO-101798,2024-11-27,Sales,1011,Aswaaq,50050,Aswaaq - International City,International City,Sunil Kumar,Verdé,HPC,1,2174.7
SO-101367,2024-11-28,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Sparklo,HPC,8,6682.64
SO-101414,2024-11-28,Sales,1002,Lulu Hypermarket,50004,Lulu Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Mintleaf,HPC,12,8545.8
SO-101733,2024-11-28,Sales,1013,Grandiose Supermarket,50056,Grandiose Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,DeliMia,Food,60,73106.4
SO-101867,2024-11-28,Sales,1010,Géant,50041,Géant - Dubai Marina,Dubai Marina,Fatima Khan,Bakehouse Co,Food,3,2905.05
SO-101918,2024-11-28,Sales,1010,Géant,50045,Géant - Deira,Deira,Rashid Al Marzooqi,Goldenfields,Food,20,21004.6
SO-100414,2024-11-29,Sales,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,Verdé,HPC,20,37962.0
SO-100526,2024-11-29,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,FreshNest,Food,5,2945.6
SO-101305,2024-11-29,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,FreshNest,Food,12,7082.04
SO-101749,2024-11-29,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,DeliMia,Food,2,2482.02
SO-100085,2024-11-30,Sales,1002,Lulu Hypermarket,50004,Lulu Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,DeliMia,Food,12,14099.52
SO-100470,2024-11-30,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,Caressa,HPC,8,12961.68
SO-100496,2024-11-30,Sales,1011,Aswaaq,50050,Aswaaq - International City,International City,Sunil Kumar,Goldenfields,Food,2,2170.86
SO-100954,2024-11-30,Sales,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,PureGlow,HPC,12,27250.2
SO-101583,2024-11-30,Sales,1014,Day to Day,50063,Day to Day - Al Barsha,Al Barsha,Mohammed Saleh,DeliMia,Food,40,41843.2
SO-101756,2024-11-30,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Bakehouse Co,Food,12,11080.08
SO-101775,2024-11-30,Sales,1013,Grandiose Supermarket,50058,Grandiose Supermarket - Festival City,Festival City,Omar Haddad,FreshLine,HPC,5,5567.9
SO-101078,2024-12-02,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Lumora,HPC,1,1878.25
SO-101458,2024-12-02,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Auracare,HPC,8,20354.16
SO-101691,2024-12-02,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,Crunchio,Food,20,9275.8
SO-101916,2024-12-02,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,FreshLine,HPC,5,4370.05
SO-100219,2024-12-03,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,Cleanova,HPC,8,10025.36
SO-100249,2024-12-03,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,Cedarna,Food,3,4361.4
SO-100715,2024-12-04,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,FreshNest,Food,2,1379.8
SO-101308,2024-12-04,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,Oasis Delights,Food,1,771.15
SO-100458,2024-12-05,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Bakehouse Co,Food,1,924.11
SO-100804,2024-12-05,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Mintleaf,HPC,40,33372.0
SO-100943,2024-12-05,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Crunchio,Food,60,26844.6
SO-101491,2024-12-05,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,FreshLine,HPC,8,9212.4
SO-100824,2024-12-06,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Auracare,HPC,2,5490.0
SO-101256,2024-12-06,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Lumora,HPC,5,8384.85
SO-100671,2024-12-07,Sales,1015,Safeer Market,50064,Safeer Market - Motor City,Motor City,Rashid Al Marzooqi,Verdé,HPC,3,5223.06
SO-100890,2024-12-07,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,FreshNest,Food,8,5300.48
SO-100965,2024-12-07,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Silkene,HPC,3,4844.76
SO-100231,2024-12-09,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,Mintleaf,HPC,1,732.85
SO-101205,2024-12-09,Sales,1003,Spinneys,50008,Spinneys - Jumeirah,Jumeirah,Grace Fernandes,PureGlow,HPC,40,122024.8
SO-101268,2024-12-09,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,Mintleaf,HPC,2,1310.1
SO-101317,2024-12-09,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,Lumora,HPC,1,2223.65
SO-101443,2024-12-09,Sales,1004,Choithrams,50011,Choithrams - Al Qusais,Al Qusais,Anjali Menon,Oasis Delights,Food,8,5853.04
SO-101445,2024-12-09,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,PureGlow,HPC,1,3001.11
SO-100423,2024-12-10,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,SunHarvest,Food,5,2985.8
SO-101540,2024-12-10,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Zaytoona,Food,2,3400.18
SO-101629,2024-12-10,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Lumora,HPC,3,5460.39
SO-101831,2024-12-10,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,Sparklo,HPC,1,908.14
SO-100086,2024-12-11,Return,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,Mintleaf,HPC,-40,-31772.0
SO-100340,2024-12-11,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Marhaba Gold,Food,2,1309.3
SO-101066,2024-12-11,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,SunHarvest,Food,100,46547.0
SO-101950,2024-12-11,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,DeliMia,Food,5,4958.6
SO-100119,2024-12-12,Sales,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Verdé,HPC,12,25891.68
SO-100590,2024-12-12,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,FreshNest,Food,1,600.26
SO-100689,2024-12-12,Sales,1015,Safeer Market,50067,Safeer Market - Jumeirah,Jumeirah,Grace Fernandes,Oasis Delights,Food,100,89406.0
SO-100113,2024-12-13,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Cleanova,HPC,40,53087.2
SO-101119,2024-12-13,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Goldenfields,Food,12,12706.56
SO-100092,2024-12-14,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,Oasis Delights,Food,8,6426.0
SO-100203,2024-12-14,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Cleanova,HPC,1,1225.79
SO-101470,2024-12-14,Sales,1011,Aswaaq,50050,Aswaaq - International City,International City,Sunil Kumar,PureGlow,HPC,1,2621.5
SO-101965,2024-12-14,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,FreshLine,HPC,2,2033.24
SO-100206,2024-12-15,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Mintleaf,HPC,8,6768.96
SO-101681,2024-12-15,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Crunchio,Food,20,10718.6
SO-101559,2024-12-16,Sales,1001,Carrefour,50003,Carrefour - Satwa,Satwa,Mohammed Saleh,DeliMia,Food,5,6010.0
SO-100173,2024-12-17,Sales,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Cleanova,HPC,2,2143.38
SO-100191,2024-12-17,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,Crunchio,Food,2,863.58
SO-100296,2024-12-17,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Bakehouse Co,Food,5,4172.2
SO-100306,2024-12-17,Sales,1010,Géant,50045,Géant - Deira,Deira,Rashid Al Marzooqi,FreshNest,Food,3,1986.93
SO-101095,2024-12-17,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Marhaba Gold,Food,12,6709.8
SO-101304,2024-12-17,Sales,1010,Géant,50042,Géant - Bur Dubai,Bur Dubai,Anjali Menon,Goldenfields,Food,12,12846.0
SO-100481,2024-12-18,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,FreshNest,Food,40,24440.8
SO-101928,2024-12-18,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,Marhaba Gold,Food,1,550.29
SO-101828,2024-12-19,Return,1015,Safeer Market,50065,Safeer Market - Discovery Gardens,Discovery Gardens,Lina Aboud,PureGlow,HPC,-5,-11446.15
SO-100680,2024-12-21,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Crunchio,Food,20,9126.6
SO-100961,2024-12-21,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,Mintleaf,HPC,20,17120.8
SO-101397,2024-12-21,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Zaytoona,Food,20,32513.0
SO-101402,2024-12-21,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,FreshNest,Food,5,3875.4
SO-100542,2024-12-22,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Cedarna,Food,5,5845.2
SO-100676,2024-12-22,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,Mintleaf,HPC,3,2598.66
SO-100871,2024-12-22,Sales,1015,Safeer Market,50065,Safeer Market - Discovery Gardens,Discovery Gardens,Lina Aboud,Silkene,HPC,1,1944.03
SO-100704,2024-12-23,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Mintleaf,HPC,1,672.57
SO-101864,2024-12-23,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Lumora,HPC,8,15325.6
SO-100170,2024-12-25,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Goldenfields,Food,2,2187.36
SO-101404,2024-12-25,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,DeliMia,Food,2,2151.0
SO-101406,2024-12-25,Sales,1001,Carrefour,50003,Carrefour - Satwa,Satwa,Mohammed Saleh,Goldenfields,Food,60,57770.4
SO-101477,2024-12-25,Sales,1009,West Zone Supermarket,50037,West Zone Supermarket - Al Qusais,Al Qusais,Anjali Menon,PureGlow,HPC,1,3010.51
SO-101624,2024-12-25,Return,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,SunHarvest,Food,-8,-3948.64
SO-100175,2024-12-26,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,Lumora,HPC,2,3276.42
SO-100391,2024-12-26,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Crunchio,Food,1,484.61
SO-100436,2024-12-26,Sales,1014,Day to Day,50062,Day to Day - Deira,Deira,Rashid Al Marzooqi,Zaytoona,Food,1,1406.46
SO-100451,2024-12-26,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,Marhaba Gold,Food,5,2864.05
SO-100457,2024-12-26,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Marhaba Gold,Food,1,663.2
SO-101031,2024-12-26,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,FreshNest,Food,20,14934.4
SO-101221,2024-12-26,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,Sparklo,HPC,2,2004.48
SO-101709,2024-12-27,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Silkene,HPC,40,73344.8
SO-101711,2024-12-27,Sales,1009,West Zone Supermarket,50037,West Zone Supermarket - Al Qusais,Al Qusais,Anjali Menon,Crunchio,Food,2,948.76
SO-101932,2024-12-27,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,FreshNest,Food,40,28479.2
SO-100283,2024-12-28,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Lumora,HPC,8,15333.6
SO-100446,2024-12-28,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Goldenfields,Food,2,1742.56
SO-100418,2024-12-29,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Bakehouse Co,Food,8,6185.12
SO-101311,2024-12-29,Sales,1007,Al Maya Supermarket,50028,Al Maya Supermarket - Al Qusais,Al Qusais,Anjali Menon,Sparklo,HPC,1,874.43
SO-101694,2024-12-30,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,SunHarvest,Food,8,4971.6
SO-100930,2025-01-01,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Crunchio,Food,8,4023.2
SO-101438,2025-01-01,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Silkene,HPC,8,13155.36
SO-100721,2025-01-02,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Cedarna,Food,8,10749.68
SO-101276,2025-01-02,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Zaytoona,Food,3,4422.24
SO-100242,2025-01-03,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,FreshNest,Food,1,701.32
SO-100609,2025-01-03,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Bakehouse Co,Food,3,2879.19
SO-100839,2025-01-03,Sales,1014,Day to Day,50062,Day to Day - Deira,Deira,Rashid Al Marzooqi,Caressa,HPC,20,29355.2
SO-100336,2025-01-04,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Crunchio,Food,40,16395.6
SO-101877,2025-01-04,Sales,1010,Géant,50041,Géant - Dubai Marina,Dubai Marina,Fatima Khan,DeliMia,Food,1,1258.15
SO-101464,2025-01-05,Sales,1003,Spinneys,50008,Spinneys - Jumeirah,Jumeirah,Grace Fernandes,Auracare,HPC,3,7338.33
SO-100062,2025-01-06,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Caressa,HPC,8,10492.16
SO-100262,2025-01-06,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,FreshLine,HPC,2,2371.58
SO-101460,2025-01-06,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Goldenfields,Food,1,981.48
SO-100288,2025-01-08,Sales,1002,Lulu Hypermarket,50004,Lulu Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Cleanova,HPC,5,4971.25
SO-101020,2025-01-08,Return,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Mintleaf,HPC,-20,-16131.8
SO-101671,2025-01-08,Sales,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,PureGlow,HPC,1,2804.88
SO-100021,2025-01-09,Sales,1005,Union Coop,50016,Union Coop - Al Quoz,Al Quoz,Ayesha Siddiqui,Lumora,HPC,3,4901.97
SO-100953,2025-01-09,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Auracare,HPC,2,4412.96
SO-101171,2025-01-09,Return,1001,Carrefour,50003,Carrefour - Satwa,Satwa,Mohammed Saleh,Oasis Delights,Food,-12,-9219.0
SO-101269,2025-01-09,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,FreshNest,Food,1,656.65
SO-101354,2025-01-09,Sales,1013,Grandiose Supermarket,50056,Grandiose Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Sparklo,HPC,1,872.88
SO-101924,2025-01-09,Sales,1015,Safeer Market,50067,Safeer Market - Jumeirah,Jumeirah,Grace Fernandes,Crunchio,Food,1,450.98
SO-101952,2025-01-09,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,SunHarvest,Food,12,5787.48
SO-101990,2025-01-09,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,DeliMia,Food,5,6326.5
SO-101274,2025-01-10,Sales,1003,Spinneys,50008,Spinneys - Jumeirah,Jumeirah,Grace Fernandes,Sparklo,HPC,20,18557.0
SO-101451,2025-01-10,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Cleanova,HPC,1,1093.78
SO-100392,2025-01-11,Sales,1010,Géant,50045,Géant - Deira,Deira,Rashid Al Marzooqi,Auracare,HPC,5,11332.1
SO-101382,2025-01-11,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Mintleaf,HPC,8,6302.16
SO-101761,2025-01-11,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Verdé,HPC,2,4142.08
SO-100025,2025-01-12,Sales,1014,Day to Day,50063,Day to Day - Al Barsha,Al Barsha,Mohammed Saleh,FreshLine,HPC,1,1102.68
SO-100677,2025-01-12,Sales,1002,Lulu Hypermarket,50006,Lulu Hypermarket - Deira,Deira,Rashid Al Marzooqi,Lumora,HPC,3,6209.76
SO-100784,2025-01-12,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,Sparklo,HPC,5,4765.05
SO-101099,2025-01-12,Sales,1011,Aswaaq,50049,Aswaaq - Downtown,Downtown,Joseph Mathew,Mintleaf,HPC,5,4342.45
SO-101232,2025-01-12,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Lumora,HPC,5,10835.4
SO-101343,2025-01-12,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,Lumora,HPC,1,1806.42
SO-101381,2025-01-12,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Caressa,HPC,1,1549.17
SO-100509,2025-01-14,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Cedarna,Food,1,1088.98
SO-100776,2025-01-14,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Cedarna,Food,40,56275.6
SO-100996,2025-01-14,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,FreshLine,HPC,3,3091.08
SO-101713,2025-01-14,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,FreshNest,Food,2,1506.34
SO-101735,2025-01-14,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,60,36926.4
SO-101013,2025-01-15,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,Cleanova,HPC,2,2708.2
SO-100766,2025-01-16,Sales,1011,Aswaaq,50049,Aswaaq - Downtown,Downtown,Joseph Mathew,Oasis Delights,Food,3,2548.47
SO-101911,2025-01-16,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,DeliMia,Food,8,8524.48
SO-100061,2025-01-17,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Zaytoona,Food,40,63787.2
SO-101543,2025-01-17,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,SunHarvest,Food,8,3627.68
SO-101716,2025-01-17,Sales,1015,Safeer Market,50064,Safeer Market - Motor City,Motor City,Rashid Al Marzooqi,Caressa,HPC,60,77845.8
SO-101964,2025-01-17,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,SunHarvest,Food,3,1818.24
SO-100054,2025-01-18,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,Verdé,HPC,2,3599.2
SO-100468,2025-01-18,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Goldenfields,Food,8,7756.08
SO-100851,2025-01-18,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,Sparklo,HPC,2,1880.74
SO-100856,2025-01-18,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,Crunchio,Food,40,18441.2
SO-101004,2025-01-18,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,Cedarna,Food,12,15063.48
SO-101960,2025-01-18,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,Bakehouse Co,Food,5,4762.95
SO-100932,2025-01-19,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Cleanova,HPC,3,3663.96
SO-100993,2025-01-19,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Oasis Delights,Food,40,37486.0
SO-100754,2025-01-20,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Goldenfields,Food,2,1815.66
SO-100730,2025-01-21,Sales,1009,West Zone Supermarket,50037,West Zone Supermarket - Al Qusais,Al Qusais,Anjali Menon,DeliMia,Food,40,41478.0
SO-101029,2025-01-21,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,SunHarvest,Food,60,32406.6
SO-101144,2025-01-22,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Crunchio,Food,1,416.0
SO-100008,2025-01-23,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Crunchio,Food,2,990.42
SO-100411,2025-01-23,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,Bakehouse Co,Food,2,1459.96
SO-100544,2025-01-23,Sales,1010,Géant,50043,Géant - Festival City,Festival City,Omar Haddad,FreshNest,Food,1,784.2
SO-101889,2025-01-23,Sales,1015,Safeer Market,50064,Safeer Market - Motor City,Motor City,Rashid Al Marzooqi,Auracare,HPC,3,7481.61
SO-100783,2025-01-24,Sales,1015,Safeer Market,50067,Safeer Market - Jumeirah,Jumeirah,Grace Fernandes,Zaytoona,Food,5,7623.35
SO-101114,2025-01-24,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,FreshLine,HPC,5,5929.75
SO-101377,2025-01-24,Sales,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,PureGlow,HPC,60,168944.4
SO-101642,2025-01-24,Return,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Caressa,HPC,-5,-7598.5
SO-101724,2025-01-24,Sales,1002,Lulu Hypermarket,50005,Lulu Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Oasis Delights,Food,5,3512.95
SO-101853,2025-01-24,Sales,1010,Géant,50042,Géant - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,1,604.69
SO-101858,2025-01-25,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Cleanova,HPC,20,26539.8
SO-100523,2025-01-26,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Auracare,HPC,3,7168.05
SO-101041,2025-01-26,Sales,1007,Al Maya Supermarket,50028,Al Maya Supermarket - Al Qusais,Al Qusais,Anjali Menon,Marhaba Gold,Food,1,638.64
